sample_id,sample_key,category,expected_document_id,expected_provision_type,expected_provision_numbers,document_accuracy,retrieval_hit_at_5,provision_accuracy,citation_presence,answer_reference_cosine_similarity,invalid_provision_rejection_accuracy,prediction_present,retrieved_context_count,matched_context_count,expected_provision_count,context_precision_local,context_recall_local
ata_test_001,ata_test_001,section_lookup,ata_1997,section,1,1.0,1.0,1.0,1.0,0.7191648483276367,nan,1.0,1,1,1,1.0,1.0
ata_test_002,ata_test_002,section_lookup,ata_1997,section,2,1.0,1.0,1.0,1.0,0.7153629064559937,nan,1.0,1,1,1,1.0,1.0
ata_test_003,ata_test_003,section_lookup,ata_1997,section,6,1.0,1.0,1.0,1.0,0.6765221357345581,nan,1.0,1,1,1,1.0,1.0
ata_test_004,ata_test_004,section_lookup,ata_1997,section,7,1.0,1.0,1.0,1.0,0.6712996959686279,nan,1.0,1,1,1,1.0,1.0
ata_test_005,ata_test_005,section_lookup,ata_1997,section,11B,1.0,1.0,1.0,1.0,0.38852107524871826,nan,1.0,1,1,1,1.0,1.0
ata_test_006,ata_test_006,section_lookup,ata_1997,section,11EE,0.0,0.0,0.0,1.0,0.743309736251831,nan,1.0,4,0,1,0.0,0.0
ata_test_007,ata_test_007,section_lookup,ata_1997,section,19,1.0,1.0,1.0,1.0,0.3199268877506256,nan,1.0,1,1,1,1.0,1.0
ata_test_008,ata_test_008,definition,ata_1997,section,2,1.0,1.0,1.0,1.0,0.654944658279419,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_009,ata_test_009,definition,ata_1997,section,2,1.0,0.0,1.0,1.0,0.7944154143333435,nan,1.0,2,1,1,0.5,1.0
ata_test_010,ata_test_010,definition,ata_1997,section,2,1.0,1.0,1.0,1.0,0.5868260860443115,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_011,ata_test_011,definition,ata_1997,section,2,1.0,1.0,1.0,1.0,0.7772930264472961,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_012,ata_test_012,definition,ata_1997,section,6,1.0,1.0,1.0,1.0,0.7280883193016052,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_013,ata_test_013,punishment,ata_1997,section,7,1.0,1.0,1.0,1.0,0.8492448329925537,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_014,ata_test_014,punishment,ata_1997,section,7,1.0,1.0,1.0,1.0,0.7532071471214294,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_015,ata_test_015,punishment,ata_1997,section,9,1.0,0.0,0.0,1.0,0.6900302171707153,nan,1.0,3,0,1,0.0,0.0
ata_test_016,ata_test_016,punishment,ata_1997,section,11F,1.0,1.0,1.0,1.0,0.8216935396194458,nan,1.0,1,1,1,1.0,1.0
ata_test_017,ata_test_017,punishment,ata_1997,section,11F,1.0,1.0,1.0,1.0,0.8421616554260254,nan,1.0,1,1,1,1.0,1.0
ata_test_018,ata_test_018,punishment,ata_1997,section,11G,1.0,1.0,1.0,1.0,0.8816264867782593,nan,1.0,1,1,1,1.0,1.0
ata_test_019,ata_test_019,punishment,ata_1997,section,11EE,1.0,1.0,1.0,1.0,0.8126946687698364,nan,1.0,3,1,1,0.3333333333333333,1.0
ata_test_020,ata_test_020,punishment,ata_1997,section,11EEEEE,1.0,0.0,0.0,1.0,0.5691788196563721,nan,1.0,3,0,1,0.0,0.0
ata_test_021,ata_test_021,scenario,ata_1997,section,11H,1.0,1.0,1.0,1.0,0.8492881655693054,nan,1.0,4,1,1,0.25,1.0
ata_test_022,ata_test_022,scenario,ata_1997,section,11I,1.0,0.0,0.0,1.0,0.8704664707183838,nan,1.0,4,0,1,0.0,0.0
ata_test_023,ata_test_023,scenario,ata_1997,section,11J,1.0,1.0,1.0,1.0,0.6859421730041504,nan,1.0,4,1,1,0.25,1.0
ata_test_024,ata_test_024,scenario,ata_1997,section,11K,1.0,1.0,1.0,1.0,0.8192728757858276,nan,1.0,4,1,1,0.25,1.0
ata_test_025,ata_test_025,scenario,ata_1997,section,11L,1.0,0.0,0.0,1.0,0.7614912986755371,nan,1.0,4,0,1,0.0,0.0
ata_test_026,ata_test_026,comparison,ata_1997,section,11B|11D,0.0,0.0,0.0,1.0,0.8022516369819641,nan,1.0,4,0,2,0.0,0.0
ata_test_027,ata_test_027,comparison,ata_1997,section,11EE|11EEE,0.0,0.0,0.0,1.0,0.791101336479187,nan,1.0,4,0,2,0.0,0.0
ata_test_028,ata_test_028,typo,ata_1997,section,11CC,1.0,1.0,1.0,1.0,0.677571177482605,nan,1.0,4,1,1,0.25,1.0
ata_test_029,ata_test_029,typo,ata_1997,section,11EEEE,1.0,0.0,0.0,1.0,0.6594239473342896,nan,1.0,4,0,1,0.0,0.0
ata_test_030,ata_test_030,invalid_section,ata_1997,section,,1.0,1.0,0.0,1.0,0.7887848615646362,0.0,1.0,4,0,0,0.0,0.0
