sample_id,sample_key,dataset_version,category,expected_document_id,expected_provision_type,expected_provision_numbers,document_accuracy,retrieval_hit_at_5,provision_accuracy,citation_presence,answer_reference_cosine_similarity,invalid_provision_rejection_accuracy,prediction_present,retrieved_context_count,matched_context_count,expected_provision_count,context_precision_local,context_recall_local,retrieval_recall_at_5,reciprocal_rank,duplicate_context_rate,retrieval_failed,no_match,exact_citation_completeness,retrieval_latency_ms,ranking_latency_ms,selection_latency_ms,generation_latency_ms,total_latency_ms
ata_test_001,ata_test_001,legal_rag_gold_v1,section_lookup,ata_1997,section,1,1.0,1.0,1.0,1.0,0.6558545231819153,nan,1.0,4,1,1,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,998.1617000012193,5.423900001915172,0.11529999756021425,1413.2409999947413,2430.038099999365
ata_test_002,ata_test_002,legal_rag_gold_v1,section_lookup,ata_1997,section,2,1.0,1.0,1.0,1.0,0.5305933952331543,nan,1.0,4,1,1,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,240.29539999901317,6.550099999003578,0.09980000322684646,3959.943400004704,4215.689700002258
ata_test_003,ata_test_003,legal_rag_gold_v1,section_lookup,ata_1997,section,6,1.0,1.0,1.0,1.0,0.6343082189559937,nan,1.0,2,1,1,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,181.02129999897443,7.032500005152542,0.10119999933522195,19413.11329999735,19620.980300001975
ata_test_004,ata_test_004,legal_rag_gold_v1,section_lookup,ata_1997,section,7,1.0,1.0,1.0,1.0,0.5528268218040466,nan,1.0,4,1,1,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,194.91420000122162,5.600399999821093,0.11199999426025897,29906.98220000195,30113.546799999312
ata_test_005,ata_test_005,legal_rag_gold_v1,section_lookup,ata_1997,section,11B,1.0,1.0,1.0,1.0,0.2626609206199646,nan,1.0,4,1,1,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,111.52210000000196,3.9370000013150275,0.10940000356640667,2177.7800000054413,2298.6601000011433
ata_test_006,ata_test_006,legal_rag_gold_v1,section_lookup,ata_1997,section,11EE,1.0,1.0,1.0,1.0,0.3809250295162201,nan,1.0,3,1,1,0.3333333333333333,1.0,1.0,1.0,0.0,0.0,0.0,1.0,106.61160000017844,6.823200004873797,0.2680000034160912,58284.78650000034,58433.95139999484
ata_test_007,ata_test_007,legal_rag_gold_v1,section_lookup,ata_1997,section,19,1.0,1.0,1.0,1.0,0.09939275681972504,nan,1.0,4,1,1,0.25,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,249.95090000447817,6.325199996354058,0.2275000006193295,57567.49100000161,57837.63029999682
ata_test_008,ata_test_008,legal_rag_gold_v1,definition,ata_1997,section,2,1.0,0.0,1.0,1.0,0.654155969619751,nan,1.0,4,1,1,0.25,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,194.90349999978207,9.976399996958207,0.30050000350456685,38101.96900000301,38317.098200001055
ata_test_009,ata_test_009,legal_rag_gold_v1,definition,ata_1997,section,2,1.0,0.0,1.0,1.0,0.723981499671936,nan,1.0,4,1,1,0.25,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,236.75730000104522,7.9410999969695695,0.17359999765176326,30849.768200001563,31103.096099999675
ata_test_010,ata_test_010,legal_rag_gold_v1,definition,ata_1997,section,2,1.0,0.0,1.0,1.0,0.6867879629135132,nan,1.0,4,1,1,0.25,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,168.99170000397135,10.925199996563606,0.1864000005298294,36515.237999999954,36705.11270000134
